Bus,p,q,v_mag_pu,v_mag_pu_set,v_ang,mismatch,time_s
1,13.178338955705726,-111.54705933241644,1.0,,0.0,8.384404281969182e-13,0.0
10,-100.0,-23.0,1.005391261681725,,0.03360772159189371,223.79806114685832,0.0
11,0.0,0.0,0.9904016560221489,,0.1517244654585371,254.68795593679988,0.0
12,0.0,0.0,0.9894536048754512,,0.14016720054558526,227.5319536354109,0.0
13,70.0,23.044122562775215,1.0,,0.1854310707277477,1.2079226507921703e-12,0.0
14,-92.0,48.87443234994757,1.0,,0.2292991060022344,5.684341886080802e-14,0.0
15,116.0,40.764156998700244,1.0,,0.42939828836687305,2.9189095585024916e-11,0.0
16,145.0,13.979080019601128,1.0,,0.33942904550130143,1.4210854715202004e-12,0.0
17,0.0,0.0,0.9998456223815453,,0.4116576919240061,7.105427357601002e-13,0.0
18,-18.0,2.8584535027661646,1.0,,0.43895659924118685,2.0747847884194925e-12,0.0
19,-90.0,-18.0,0.9964538244543961,,0.2955317694118989,5.684341886080802e-14,0.0
2,-30.0,36.39063778128616,1.0,,-0.0007971031369921799,1.3219647598816664e-11,0.0
20,-65.0,-13.0,0.9980590073284291,,0.27540638344875873,1.1439738045737613e-12,0.0
21,294.0,-52.659328729298835,1.0,,0.4660741510417766,6.750155989720952e-13,0.0
22,150.0,-29.502978588475884,1.0,,0.5072402899005999,4.405364961712621e-13,0.0
23,200.0,-5.988005987728712,1.0,,0.2715008794618522,4.973799150320701e-13,0.0
24,0.0,0.0,0.97409718170304,,0.31911556938065827,208.10750112295636,0.0
25,0.0,-0.0,1.0,,-0.035328874772823135,0.0,0.0
3,-90.0,-19.0,0.9715459416599384,,0.1339666549232697,207.05109232167723,0.0
4,-74.0,-15.0,0.9645274671524358,,-0.016243823829204956,1.666222715357435e-11,0.0
5,-71.0,-14.0,0.9882330776783894,,-0.013044533489166758,8.355982572538778e-12,0.0
6,-68.0,-14.0,1.0188331006791322,,-0.007881436371981581,7.531752999057062e-12,0.0
7,2.0,28.77455668976381,1.0,,-0.035328874772823135,2.0,0.0
8,-85.0,-18.0,0.9815809834644974,,-0.031696115336794735,85.0,0.0
9,-175.0,-36.0,0.9711757261907379,,0.051681485569176636,172.1724957699803,0.0
1,13.658528634663185,-111.74929376799628,1.0,,0.0,8.384404281969182e-13,300.0
10,-99.99896349654337,-23.0,1.0053953950090602,,0.0332159064364463,223.31351475352386,300.0
11,0.0,0.0,0.9904120968592224,,0.15110439312214655,254.39865807947749,300.0
12,0.0,0.0,0.9894629224060575,,0.13957877603804866,227.31571361052656,300.0
13,69.7628293099406,23.022301864068382,1.0,,0.18477070917007493,1.0800249583553523e-12,300.0
14,-92.30728775324967,48.882208194722836,1.0,,0.2285907355684812,3.410605131648481e-13,300.0
15,115.92895692631657,40.73144618174973,1.0,,0.4287956193454537,2.913225216616411e-11,300.0
16,144.95038270020703,14.026420206539733,1.0,,0.33876021853820637,8.526512829121202e-13,300.0
17,0.0,0.0,0.9998440726022356,,0.41103419201145147,1.1368683772161603e-13,300.0
18,-17.824139642175965,2.8515518522750805,1.0,,0.4383564540537788,5.400124791776761e-13,300.0
19,-90.13884126941731,-18.0,0.9964515767001111,,0.29484988107008003,4.263256414560601e-13,300.0
2,-29.81381238368469,36.33370537375253,1.0,,-0.0007988844126163926,6.531664098474721e-12,300.0
20,-64.9858144791426,-13.0,0.9980584735496761,,0.2747409400875506,1.7053025658242404e-13,300.0
21,294.0,-52.66008097739473,1.0,,0.46547208471614165,8.526512829121202e-13,300.0
22,150.0,-29.50077005257306,1.0,,0.5066298044838113,1.7763568394002505e-13,300.0
23,200.0,-6.0020649477075025,1.0,,0.27084286707996774,1.6058265828178264e-12,300.0
24,0.0,0.0,0.9741167543061672,,0.31856996267506416,208.00373410935782,300.0
25,0.13424219822091882,-0.044747311773916595,1.0,,-0.03562155682738257,1.3200385229339417e-11,300.0
3,-89.97003530593007,-19.0,0.971560362296394,,0.13352090373745842,206.94842329680887,300.0
4,-73.84324262893833,-15.0,0.9645554692358852,,-0.016468453756300766,1.6505907751707127e-11,300.0
5,-70.9629202135982,-14.0,0.9882433131885399,,-0.013220338362053894,8.08597633294994e-12,300.0
6,-67.89779763606879,-14.0,1.0188773829278546,,-0.008180350977621138,7.077005648170598e-12,300.0
7,1.9835320151490734,28.781743684548893,1.0,,-0.03562273166960704,2.117774160812069,300.0
8,-84.9849050066558,-18.0,0.9815846224430489,,-0.03206936628982617,84.9849050066558,300.0
9,-175.55774050796964,-36.0,0.9711631265026633,,0.05108094927789688,172.29333089934255,300.0
1,14.73764521047542,-112.23271806175876,1.0,,0.0,8.668621376273222e-13,600.0
10,-100.1765459535032,-23.0,1.0053683370561175,,0.03293007731341157,223.3525273405658,600.0
11,0.0,0.0,0.9904079264286774,,0.15087888227108154,254.45183132398296,600.0
12,0.0,0.0,0.9894544702498403,,0.1393867061931581,227.44579483417846,600.0
13,70.73022126202031,22.92619289065101,1.0,,0.18471652563792829,1.2931877790833823e-12,600.0
14,-92.28237379319621,48.828019328556266,1.0,,0.22823593950415827,5.684341886080802e-14,600.0
15,116.03643980923812,40.664929940848616,1.0,,0.4282352259740719,2.8535396268125623e-11,600.0
16,144.95320110630885,13.948053691981293,1.0,,0.33827321251135967,2.842170943040401e-14,600.0
17,0.0,0.0,0.9998478353534817,,0.41043453889725695,6.536993168992922e-13,600.0
18,-18.51146970635321,2.9072077873825313,1.0,,0.4376963892117384,4.263256414560601e-13,600.0
19,-90.30602363901468,-18.0,0.9964493121552851,,0.294391614382469,2.2737367544323206e-13,600.0
2,-30.19356626247469,36.69249308900228,1.0,,-0.000810147291412328,3.0260238759183267e-12,600.0
20,-65.19162789659812,-13.0,0.9980563696545774,,0.27434079563840613,7.389644451905042e-13,600.0
21,294.0,-52.662587031201156,1.0,,0.4648477770603693,1.1084466677857563e-12,600.0
22,150.0,-29.50518057774171,1.0,,0.5060151968515203,7.105427357601002e-14,600.0
23,200.0,-6.02730125636409,1.0,,0.2704966610227038,2.8421709430404007e-13,600.0
24,0.0,0.0,0.9741289585448261,,0.31806617567809653,207.90090245083326,600.0
25,0.1319787448839264,-0.04399283027249317,1.0,,-0.036183970541396604,4.557076938027649e-12,600.0
3,-90.19945055999139,-19.0,0.971556496773105,,0.1331115114340515,206.84665301530634,600.0
4,-74.05952294626577,-15.0,0.9645189480061184,,-0.016722273543286304,1.6335377495124703e-11,600.0
5,-71.07879428028535,-14.0,0.9882170848050764,,-0.013412762584935919,8.149925179168349e-12,600.0
6,-67.99544537084839,-14.0,1.0188500994797698,,-0.008451187555773726,7.176481631177012e-12,600.0
7,1.9421629495532073,28.85431861528767,1.0,,-0.03618512557464832,2.0741416436193068,600.0
8,-85.23930279312178,-18.0,0.9815470569356084,,-0.032592450011744385,85.23930279312178,600.0
9,-175.20739932783766,-36.0,0.9711663441135188,,0.05086781152210331,172.1262774635905,600.0
1,15.891797924054572,-112.762864031861,1.0,,0.0,8.100187187665142e-13,900.0
10,-99.92534540041223,-23.0,1.0053903970813411,,0.032179063288848495,222.482146930925,900.0
11,0.0,0.0,0.9904466938704889,,0.14975434535329823,253.69922511235197,900.0
12,0.0,0.0,0.9895058024048553,,0.13825148281894278,226.67016427411903,900.0
13,69.29077873269725,22.87742965895825,1.0,,0.1832801564851103,1.4068746168049984e-12,900.0
14,-92.1041359803074,48.672559527188675,1.0,,0.22706656471741063,1.7053025658242404e-13,900.0
15,115.63586752747193,40.538946899560756,1.0,,0.4269305272422705,2.7824853532365523e-11,900.0
16,144.66684667245352,13.946409135539838,1.0,,0.33698805894752243,8.526512829121202e-14,900.0
17,0.0,0.0,0.9998479367122417,,0.4091468604498391,4.263256414560601e-14,900.0
18,-18.477659640469483,2.900887918383961,1.0,,0.4364078227877891,6.252776074688882e-13,900.0
19,-90.2456928996855,-18.0,0.9964499445066756,,0.2931090219834838,1.5631940186722204e-13,900.0
2,-29.95886932341253,36.743800205009535,1.0,,-0.000817315908981188,1.4000800518942924e-11,900.0
20,-65.2363068691361,-13.0,0.9980561226299545,,0.2730483683372393,1.8474111129762605e-13,900.0
21,294.0,-52.661784382982745,1.0,,0.4635539195547848,7.389644451905042e-13,900.0
22,150.0,-29.50549097029287,1.0,,0.5047237637321392,1.5631940186722204e-13,900.0
23,200.0,-6.083975612020772,1.0,,0.2692037234455206,4.973799150320701e-13,900.0
24,0.0,0.0,0.9742003573176576,,0.31694613107580855,207.5649283434376,900.0
25,0.135522609654034,-0.04517411391475308,1.0,,-0.03693674957340114,1.0193762500776415e-11,900.0
3,-90.16093900311903,-19.0,0.9716236362104258,,0.13231980144813485,206.51425694989538,900.0
4,-74.15976969927546,-15.0,0.9645320058487108,,-0.01723231537880943,1.5901946426311042e-11,900.0
5,-71.08115393093425,-14.0,0.9882339783416412,,-0.013781610947104282,7.936762358440319e-12,900.0
6,-68.10684654286284,-14.0,1.0188888831115845,,-0.009110612366646778,7.02016222930979e-12,900.0
7,1.9219853865649696,28.825540644426653,1.0,,-0.0369379356213503,2.0575079426300493,900.0
8,-85.18187911393879,-18.0,0.9815680386202783,,-0.03333992080660194,85.18187911393879,900.0
9,-174.90634182289196,-36.0,0.9712091502128773,,0.05003174190872716,171.5205033712026,900.0
1,15.759646574876172,-112.68539568974779,1.0,,0.0,8.384404281969182e-13,1200.0
10,-100.17884590817316,-23.0,1.0053638018357793,,0.03225599533501866,222.69732020777766,1200.0
11,0.0,0.0,0.9904193040727497,,0.14994830332155926,254.05138878784982,1200.0
12,0.0,0.0,0.9894720828022049,,0.13843364227869742,226.99483306954397,1200.0
13,69.65141971885106,22.97929843765756,1.0,,0.1835600295781023,9.094947017729282e-13,1200.0
14,-91.96059435875787,48.73729742842324,1.0,,0.22733352323948344,2.2737367544323206e-13,1200.0
15,115.9748858722048,40.53630006909296,1.0,,0.42728781239878955,2.793854037008714e-11,1200.0
16,144.49000383976974,13.94445033732984,1.0,,0.3372675724635279,9.379164112033322e-13,1200.0
17,0.0,0.0,0.9998478760047175,,0.4094259598521427,2.5579538487363607e-13,1200.0
18,-18.694756910669042,2.9340907500712934,1.0,,0.4366846679982585,7.673861546209082e-13,1200.0
19,-90.0976181921962,-18.0,0.9964543640622403,,0.2934268807797199,2.5579538487363607e-13,1200.0
2,-30.025096452676294,36.76998868035596,1.0,,-0.0008171479229430066,1.5076828674409626e-12,1200.0
20,-65.06692792810429,-13.0,0.9980591885659914,,0.27336975756093523,7.673861546209082e-13,1200.0
21,294.0,-52.665529798835905,1.0,,0.4638574584093468,6.892264536872972e-13,1200.0
22,150.0,-29.50458447182099,1.0,,0.5050177163409074,5.400124791776761e-13,1200.0
23,200.0,-6.057911579884262,1.0,,0.26950860899070517,4.050093593832571e-13,1200.0
24,0.0,0.0,0.9741849080303691,,0.3172611584552276,207.64180720292848,1200.0
25,0.1415297049962518,-0.04717647094389744,1.0,,-0.03686086572637582,9.041156712186194e-12,1200.0
3,-89.94222453140272,-19.0,0.9716105025671521,,0.13256026697857756,206.59032086588275,1200.0
4,-74.08126651592688,-15.0,0.9645171053393815,,-0.01719027635183401,1.6122214674396673e-11,1200.0
5,-71.10361605992222,-14.0,0.9882171636994829,,-0.013754748398704532,7.958078640513122e-12,1200.0
6,-67.97295358784586,-14.0,1.0188867164772795,,-0.00901041233080394,6.66489086142974e-12,1200.0
7,2.0109783255404565,28.846722579254198,1.0,,-0.036862104346376635,2.1525079720938383,1200.0
8,-85.28420422615555,-18.0,0.9815408159573604,,-0.03331989189985594,85.28420422615555,1200.0
9,-175.59179542781473,-36.0,0.9711560053672978,,0.05002444074968594,171.97028342210504,1200.0
1,15.988575669014494,-112.85015100586111,1.0,,0.0,8.100187187665142e-13,1500.0
10,-100.30270268547993,-23.0,1.0053765347605164,,0.032146284693289826,222.85245208930266,1500.0
11,0.0,0.0,0.9904489456705853,,0.149852690865064,253.73877818331385,1500.0
12,0.0,0.0,0.9895072934782839,,0.13836422390153555,226.74267962712136,1500.0
13,69.77659208419152,22.808276538810517,1.0,,0.1834642357791314,1.4637180356658064e-12,1500.0
14,-92.09971167637869,48.63974233848913,1.0,,0.22710635166507312,1.1368683772161603e-13,1500.0
15,115.57736118557372,40.51801867087613,1.0,,0.4268657656484492,2.83648660115432e-11,1500.0
16,144.67573848067406,13.925281430554342,1.0,,0.3369705441105371,9.663381206337363e-13,1500.0
17,0.0,0.0,0.9998491408072926,,0.4090939492935331,2.0605739337042905e-12,1500.0
18,-18.627133933268397,2.90816596005973,1.0,,0.4363365585860504,5.400124791776761e-13,1500.0
19,-90.38700587056894,-18.0,0.9964475732145474,,0.2930926477062337,5.115907697472721e-13,1500.0
2,-30.22592336459894,36.83959511063461,1.0,,-0.0008197194356861814,1.1632694807417465e-11,1500.0
20,-65.33307775609791,-13.0,0.9980546856123292,,0.27306116767966376,9.947598300641403e-14,1500.0
21,294.0,-52.66140827878296,1.0,,0.4634856588662295,2.7000623958883807e-13,1500.0
22,150.0,-29.50716135388282,1.0,,0.5046615330901334,4.263256414560601e-14,1500.0
23,200.0,-6.098257479519482,1.0,,0.26924290431195036,7.105427357601002e-13,1500.0
24,0.0,0.0,0.9742093174681763,,0.31690551469840306,207.52099775647477,1500.0
25,0.11246277266597837,-0.03748752939705619,1.0,,-0.03691355140642598,3.42115225038242e-13,1500.0
3,-90.26741822377453,-19.0,0.9716314788784282,,0.13232187344226776,206.47079236837018,1500.0
4,-74.01200832628143,-15.0,0.9645751955351856,,-0.017032053940823834,1.5830892152735032e-11,1500.0
5,-70.94855140192952,-14.0,0.9882446837767117,,-0.013739721578868741,7.858602657506708e-12,1500.0
6,-68.21632537263187,-14.0,1.0188576203673598,,-0.009170536826243983,7.275957614183426e-12,1500.0
7,1.9111014175578518,28.824508951557714,1.0,,-0.03691453564253023,2.0235641533275377,1500.0
8,-85.19021187569908,-18.0,0.9815695322881383,,-0.033294332974139085,85.19021187569908,1500.0
9,-174.45473539475591,-36.0,0.971240754570165,,0.050232721873490815,171.21721206785355,1500.0
1,16.007979065478537,-112.7310033535864,1.0,,0.0,8.384404281969182e-13,1800.0
10,-100.16812076483674,-23.0,1.0053409100941482,,0.03233238386242408,223.01879560477494,1800.0
11,0.0,0.0,0.9904051420204004,,0.15016184554751044,254.20507173206653,1800.0
12,0.0,0.0,0.9894558269270693,,0.1386235938598656,227.0939637353692,1800.0
13,69.11551246756918,23.12423025399842,1.0,,0.18369948673878586,8.952838470577262e-13,1800.0
14,-92.23570601517619,48.89521268628964,1.0,,0.2276775184163519,2.2737367544323206e-13,1800.0
15,115.77508286613056,40.71819169218443,1.0,,0.42782033261713226,2.935962584160734e-11,1800.0
16,145.03380360028268,13.98053788006331,1.0,,0.33784627707256754,6.821210263296962e-13,1800.0
17,0.0,0.0,0.9998453372914106,,0.410083478077443,6.536993168992922e-13,1800.0
18,-17.945712165796095,2.8539065625952915,1.0,,0.43738699294679506,8.242295734817162e-13,1800.0
19,-89.90116364700316,-18.0,0.9964555459891612,,0.29395602557328465,5.684341886080801e-13,1800.0
2,-30.214326149462053,36.95631768500676,1.0,,-0.0008206386238353009,1.7154055953483294e-11,1800.0
20,-64.97378225187431,-13.0,0.9980597293785726,,0.2738169763332516,3.907985046680551e-13,1800.0
21,294.0,-52.65910071504345,1.0,,0.4645015704556984,7.744915819785092e-13,1800.0
22,150.0,-29.502652583090544,1.0,,0.5056670664434818,2.4158453015843406e-13,1800.0
23,200.0,-5.9902912975499305,1.0,,0.269901179865332,4.263256414560601e-14,1800.0
24,0.0,0.0,0.9741245216110271,,0.3176478945083721,207.90711437405145,1800.0
25,0.14244193253428794,-0.047480545534303836,1.0,,-0.03671265380370043,9.007239398783895e-13,1800.0
3,-90.24159817903768,-19.0,0.971547381606576,,0.13268518465481996,206.85278740080113,1800.0
4,-74.30009358501755,-15.0,0.9644663702210388,,-0.01721506998426627,1.63140612130519e-11,1800.0
5,-71.31865096899517,-14.0,0.9881770014780574,,-0.013812974166128438,8.178346888598753e-12,1800.0
6,-68.15515578067068,-14.0,1.0188277469828326,,-0.009000473296963086,7.631228982063476e-12,1800.0
7,2.0342774091238525,28.859018689360116,1.0,,-0.03671390040720576,2.176719282469516,1800.0
8,-85.31291912761304,-18.0,0.9815295481866364,,-0.0331847269158214,85.31291912761304,1800.0
9,-175.23573766852468,-36.0,0.9711417720400903,,0.050238123167743155,171.89476082784157,1800.0
1,16.243474189650044,-112.95045915701019,1.0,,0.0,8.384404281969182e-13,2100.0
